stratum,pmid,year,journal,title,abstract_start,arm,relevant_yn,screened_by,date,note
corpus,38608970,2024,Journal of equine veterinary science,Medical management and positive outcome after prolonged recumbency in a case of equine herpesvirus myeloencephalopathy.,"A 17-year-old mare presenting with acute fever, weakness and bladder dysfunction was diagnosed with equine herpesvirus myeloencephalopathy (EHM). The mare become transiently recumbent, underwent parenteral fluid therapy, plasma infusion, steroidal/nonsteroidal anti-inflammatory drugs (SAID/NSAIDs) a",corneal_cxl_phrase,,,,
corpus,35801890,2022,Vestnik oftalmologii,[Changes in precorneal tear film and ocular surface in keratoconic patients after corneal collagen cross-linking].,"The article reviews the current available data on the signs and symptoms of dry eye syndrome (DES) in patients with keratoconus (KC), describes the clinical features of DES in KC patients and the morphological features of this type of keratectasia that lead to manifestations of the «dry eye», and hi",corneal_cxl_phrase|collagen_cxl_phrase,,,,
corpus,35450449,2022,European journal of ophthalmology,Evaluation of macular function and morphology following accelerated collagen cross-linking in progressive keratoconus.,PURPOSE: To assess any changes in macular function and morphology in patients with progressive keratoconus undergoing accelerated corneal cross-linking (CXL). METHODS: This prospective case series included 9 eyes of 8 patients with progressive keratoconus undergoing CXL using a high intensity accele,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,,,,
corpus,22025568,2011,Investigative ophthalmology & visual science,"Equivalence of biomechanical changes induced by rapid and standard corneal cross-linking, using riboflavin and ultraviolet radiation.",PURPOSE: Ultraviolet (UV) corneal cross-linking is an accepted method for treating corneal ecstatic disorders. The authors evaluated whether a rapid treatment protocol (higher intensity and shorter irradiation time) could achieve the same increase in corneal stiffness as the currently used standard ,corneal_cxl_phrase|riboflavin_uv,,,,
corpus,37343287,2023,Journal of cataract and refractive surgery,Corneal crosslinking with riboflavin using sunlight.,"PURPOSE: To assess whether sunlight might be used to induce a biomechanical stiffening effect in riboflavin-soaked corneas similar to the effect observed in corneal crosslinking (CXL) using riboflavin and UV-A light. SETTING: Center for Applied Biotechnology and Molecular Medicine, University of Zur",corneal_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,30037699,2018,Journal of cataract and refractive surgery,Visual and keratometric outcomes of keratoconus patients after sequential corneal crosslinking and topography-guided surface ablation: Early United States experience.,"PURPOSE: To evaluate a sequential treatment algorithm for visual and keratometric improvement in keratoconus patients after corneal crosslinking (CXL) followed by topography-guided photorefractive keratectomy (PRK). SETTING: Ophthalmic Consultants of Long Island, Garden City, New York, USA. DESIGN: ",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,22792444,2012,Journal of ophthalmology,Advanced corneal cross-linking system with fluorescence dosimetry.,"Purpose. This paper describes an advanced system that combines corneal cross-linking with riboflavin with fluorescence dosimetry, the ability to measure riboflavin diffusion within the cornea both before and during UVA treatment. Methods and Results. A corneal cross-linking system utilizing a digita",corneal_cxl_phrase|riboflavin_uv,,,,
corpus,24497860,2013,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,Topographic corneal changes after collagen cross-linking in patients with corneal keratoconus.,"BACKGROUND: Corneal collagen cross-linking with riboflavin, also known as collagen cross-linking (CXL), involves the application of riboflavin solution to the eye that is activated by illumination with ultraviolet A (UVA) light. We survey here the topographic corneal changes one year after CXL in pa",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,26509764,2016,Cornea,Assessment of a Novel Corneal-Shaping Device With Simultaneous Corneal Collagen Cross-Linking Using a Porcine Eye Model.,"PURPOSE: Corneal collagen cross-linking (CXL) alone cannot substantially improve refractive errors. We designed a novel corneal-shaping device, showing that a prototype applied during CXL can alter corneal curvature to a greater extent than CXL alone in a porcine eye model. METHODS: The device proto",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,,,,
corpus,31014449,2019,Deutsches Arzteblatt international,Corneal Collagen Cross-Linking in the Stabilization of Keratoconus.,BACKGROUND: Keratoconus is a slowly progressive ectatic deformity of the cornea with a prevalence of 200 to 400 cases per 100 000 persons. The cornea is thinner than normal and irregularly warped; irregular astigmatism and myopia result. Riboflavin-UVA crosslinking (collagen cross-linking) makes cor,corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,,,,
corpus,27055493,2016,Klinische Monatsblatter fur Augenheilkunde,[Corneal Cross-Linking with Riboflavin and UVA in Keratoconus].,Changes in the biomechanical properties of the human cornea play an important role in the pathogenesis of corneal ectatic diseases. Many different pathological conditions in the cornea may reduce its biomechanical resistance. Corneal collagen cross-linking (CXL) has emerged as a promising technique ,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,38590463,2024,Cureus,Prevalence of Keratoconus in the Young Eastern Population of Saudi Arabia.,"BACKGROUND: Keratoconus (KCN) is a progressive corneal ectasia that manifests at a young age and significantly impacts vision and quality of life. Early diagnosis allows for effective treatment with corneal collagen crosslinking, yet there is a lack of screening methods. This research aims to screen",corneal_cxl_phrase|collagen_cxl_phrase,,,,
corpus,20861724,2011,Cornea,Short-term corneal response to cross-linking in rabbit eyes assessed by in vivo confocal laser scanning microscopy and histology.,PURPOSE: Corneal cross-linking for the treatment of keratoconus has been tested in animal trials and proven clinically. A combination of in vivo confocal laser scanning microscopy (CLSM) and histology was used in rabbit corneas to assess early modifications at the cellular level after corneal cross-,corneal_cxl_phrase,,,,
corpus,27918357,2017,Cornea,"Re: Godefrooij DA, Soeters N, Imhof SM, Wisse RP. Corneal Cross-Linking for Pediatric Keratoconus: Long-Term Results. Cornea. 2016 Jul;35(7):954-8.",,corneal_cxl_phrase,,,,
corpus,33892046,2021,Ophthalmology,Effect of Corneal Cross-linking versus Standard Care on Keratoconus Progression in Young Patients: The KERALINK Randomized Controlled Trial.,"PURPOSE: To examine the efficacy and safety of corneal cross-linking (CXL) for stabilization of progressive keratoconus. DESIGN: Observer-masked, randomized, controlled, parallel-group superiority trial. PARTICIPANTS: Sixty participants 10 to 16 years of age with progressive keratoconus, one eye of ",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,25488640,2015,American journal of ophthalmology,Confocal microscopy analysis of corneal changes after photorefractive keratectomy plus cross-linking for keratoconus: 4-year follow-up.,,bare_crosslink+disease,,,,
corpus,37068601,2023,Experimental eye research,The role of KS GAGs in the microstructure of CXL-treated corneal stroma; a transmission electron microscopy study.,"The mechanical and physical properties of the cornea originate from the microstructure and composition of its extracellular matrix. It is known that collagen fibrils, with a relatively uniform diameter, are organized in a pseudo-hexagonal array. It has been suggested that proteoglycans and the inter",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,24508795,2014,Investigative ophthalmology & visual science,Biomechanical changes after repeated collagen cross-linking on human corneas assessed in vitro using scanning acoustic microscopy.,"PURPOSE: To explore the biomechanical changes induced by repeated cross-linking using scanning acoustic microscopy (SAM). METHODS: Thirty human corneas were divided into three groups. In group A, five corneas were cross-linked once. In group B, five corneas were cross-linked twice, 24 hours apart. I",collagen_cxl_phrase|riboflavin_uv,,,,
corpus,33229657,2020,Indian journal of ophthalmology,Advanced epithelial mapping for refractive surgery.,"One of the leading challenges in refractive surgery today is the presence of underlying subclinical early-stage keratoconus (KC), which can lead to iatrogenic post laser in situ keratomileusis ectasia. Timely detection of this condition could aid the refractive surgeons in better decision-making. Th",corneal_cxl_phrase|collagen_cxl_phrase,,,,
corpus,37805417,2023,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,[Short term clinical observation of keratoconus treated with stromal lenticule addition keratoplasty combined with corneal collagen cross-linking].,Objective: To investigate the efficacy of Femtosecond laser-assisted stromal lenticule addition keratoplasty (SLAK) combined with corneal collagen cross-linking (CXL) in the treatment of middle and advanced Keratoconus. Methods: It was a retrospective case series study. Data of 23 cases (24 eyes) of,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|mesh_CXL,,,,
corpus,34592475,2021,The ocular surface,Surgical management of infectious keratitis.,The successful management of infectious keratitis is usually achieved with a combination of tools for accurate diagnosis and targeted timely antimicrobial therapy. An armamentarium of surgical interventions is available in the acute stage which can be resorted to in a step wise manner or in combinat,collagen_cxl_phrase,,,,
corpus,31300155,2019,Journal of biomechanics,Two-year changes in corneal stiffness parameters after accelerated corneal cross-linking.,"The objective of this non-randomized trial was comparison of two-year changes in dynamic corneal response (DCR) between 18 mW/cm2 (5- min) and 9 mW/cm2 (10-min) cross-linking (CXL) protocols, using novel stiffness parameters and correlating them to clinical indices. The two groups were evaluated bef",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,29110439,2017,Acta ophthalmologica,Iontophoretic collagen cross-linking versus epithelium-off collagen cross-linking for early stage of progressive keratoconus - 3 years follow-up study.,PURPOSE: To compare 3-year iontophoretic corneal collagen cross-linking (I-CXL) outcomes with epithelium-off corneal collagen cross-linking (epi-off CXL) for early stage of progressive keratoconus. METHODS: Eighty eyes of 80 patients with early progressive keratoconus treated by I-CXL (n = 40) or ep,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off,,,,
corpus,34854915,2021,Translational vision science & technology,Evaluation of the Physiological Corneal Intrastromal Riboflavin Concentration and the Corneal Elastic Modulus After Violet Light Irradiation.,PURPOSE: KeraVio is a corneal crosslinking treatment modality that utilizes violet light (VL)-emitting glasses and topical epithelium-on riboflavin administration. We focus on the new KeraVio protocol without riboflavin. This study aims to quantify the physiological intrastromal concentrations of ri,corneal_cxl_phrase|epi_on_off,,,,
corpus,14739922,2004,"Eye (London, England)",Keratocyte cytotoxicity of riboflavin/UVA-treatment in vitro.,PURPOSE: Collagen crosslinking using ultraviolet- A (UVA) -irradiation combined with the photosensitizer riboflavin is a new technique for treating progressive keratoconus. It has been shown to increase effectively the biomechanical strength of the cornea and to stop or even reverse the progression ,collagen_cxl_phrase|riboflavin_uv,,,,
corpus,26867998,2016,Clinical & experimental ophthalmology,Photodynamic UVA-riboflavin bacterial elimination in antibiotic-resistant bacteria.,BACKGROUND: To evaluate the bactericidal effect of clinical ultraviolet A (UVA) settings used in photoactivated chromophore for infectious keratitis (PACK)-collagen cross-linking (CXL) in antibiotic-resistant and non-resistant bacterial strains. METHODS: Well-characterized bacterial strains from cli,collagen_cxl_phrase|CXL_abbrev|riboflavin_uv|photoactivated_chromophore,,,,
corpus,23361513,2013,Investigative ophthalmology & visual science,Brillouin microscopy of collagen crosslinking: noncontact depth-dependent analysis of corneal elastic modulus.,"PURPOSE: Corneal collagen crosslinking (CXL) is designed to halt the progression of keratoconus and corneal ectasia by inducing corneal stiffening. However, it currently is difficult to monitor and evaluate CXL outcome objectively due to the lack of suitable methods to characterize corneal mechanica",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off|riboflavin_uv,,,,
corpus,26221538,2015,Journal of ophthalmology,Clinical Outcomes of Small Incision Lenticule Extraction with Accelerated Cross-Linking (ReLEx SMILE Xtra) in Patients with Thin Corneas and Borderline Topography.,"Purpose. To study the safety and clinical outcomes of ReLEx SMILE with accelerated cross-linking in individuals with thinner corneas, borderline topography, and higher refractive errors. Methods. Eligible patients first underwent SMILE procedure for correction of myopic refractive error. Following t",riboflavin_uv|bare_crosslink+disease,,,,
corpus,28106466,2017,Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,Phototoxic Effect of Topical Fluoroquinolones Administered Before Corneal Crosslinking in a Murine Model.,"PURPOSE: Corneal crosslinking by UV light (UV-CXL) has become a popular treatment for keratoconus and corneal ectasia. Fluoroquinolones (FQs), commonly administered topically before UV-CXL, are known to be phototoxic to the skin and lens. The purpose of this study was to investigate phototoxic effec",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,24878254,2014,Journal of cataract and refractive surgery,Penetration of moxifloxacin through crosslinked corneas.,"PURPOSE: To determine the ability of moxifloxacin to penetrate the rabbit eye after corneal collagen crosslinking (CXL) with riboflavin and ultraviolet-A light irradiation. SETTING: Harlan Biotech Israel, Rehovot, Israel. DESIGN: Experimental study. METHODS: One eye of 10 New Zealand white rabbits h",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,27388250,2016,The British journal of ophthalmology,Epithelium-off versus transepithelial corneal collagen crosslinking for progressive corneal ectasia: a randomised and controlled trial.,AIM: To compare the outcomes of corneal collagen crosslinking (CXL) for the treatment of progressive corneal ectasia using a standard epithelium-off technique versus a transepithelial technique with enhanced riboflavin solution. METHODS: One hundred and forty-four eyes with progressive corneal ectas,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off,,,,
corpus,25853446,2015,"Eye (London, England)",Corneal collagen crosslinking for keratoconus or corneal ectasia without epithelial debridement.,PURPOSE: Corneal collagen crosslinking (CXL) is a relatively new technique to reduce the progression of keratoconus. The technique can be performed with or without complete debridement of the corneal epithelium. We describe a novel intermediate technique involving mechanical disruption of the epithe,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off,,,,
corpus,24625376,2014,"Eye (London, England)",Effects and adverse events after CXL for keratoconus are independent of age: a 1-year follow-up study.,"PURPOSE: To compare the effect, failure rate and the risks of corneal cross-linking (CXL) in keratoconus patients aged ≥35 years to patients <35 years. METHODS: In 141 eyes of 116 keratoconus patients we compared the changes in best phoropter-corrected visual acuity (BCVA) and maximum keratometry va",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,35985744,2022,BMJ case reports,Pellucid marginal corneal degeneration in a teenager.,"A teenage boy presented to the clinic complaining of poor vision in both eyes. His best-corrected visual acuity was 20/25. The slit lamp examination revealed vertically oval corneas, crescentic peripheral inferior corneal thinning and ectasia in both eyes. Corneal topography showed against-the-rule ",collagen_cxl_phrase,,,,
corpus,28935449,2017,Journal of AAPOS : the official publication of the American Association for Pediatric Ophthalmology and Strabismus,Long-term outcomes of corneal cross-linking for keratoconus in pediatric patients.,PURPOSE: To report the long-term outcomes of corneal cross-linking (CXL) in pediatric patients with bilateral progressive keratoconus. METHODS: The medical records of consecutive pediatric patients with bilateral progressive keratoconus who underwent CXL at a single institution from June 2007to Dece,corneal_cxl_phrase|CXL_abbrev,,,,
corpus,24240489,2014,Cornea,Corneal collagen fibril changes after ultraviolet a/riboflavin corneal crosslinking.,"PURPOSE: The aim was to investigate the changes in collagen type 1 and type 3 in rabbit corneas undergoing corneal crosslinking with ultraviolet A and riboflavin and to analyze the possible mechanisms of corneal haze formation. METHODS: After removal of the central epithelium, the right corneas of 6",corneal_cxl_phrase|riboflavin_uv,,,,
corpus,18836172,2008,Investigative ophthalmology & visual science,Initial studies using aliphatic beta-nitro alcohols for therapeutic corneal cross-linking.,"PURPOSE: Corneal collagen cross-linking through UVA-riboflavin photochemistry (UVAR) has been shown to be an effective treatment for keratoconus and related keratectasias. In recent studies using sclera, the authors observed that short-chain aliphatic beta-nitro alcohols can cross-link collagenous t",corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,,,,
corpus,25295278,2014,BioMed research international,Accelerated corneal collagen cross-linking in pediatric patients: two-year follow-up results.,PURPOSE: To evaluate the effectiveness and safety of accelerated corneal collagen cross-linking (ACXL) in patients below 14 years of age with progressive keratoconus. MATERIALS AND METHODS: Thirty eyes of 18 patients with established progressive keratoconus underwent preoperative and postoperative v,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,,,,
corpus,33148465,2020,The ocular surface,Management of corneal complications in vernal keratoconjunctivitis: A review.,"Vernal keratoconjunctivitis (VKC) is a chronic, bilateral, allergic conjunctivitis with episodes of acute exacerbations. Although VKC has a self-limiting course, chronic recurrent inflammation can cause long-term visual impairment due to corneal complications including shield ulcers, infectious kera",collagen_cxl_phrase,,,,
corpus,32036622,2020,Clinical & experimental optometry,Plasma homocysteine levels in patients with keratoconus.,"BACKGROUND: To compare the plasma levels of homocysteine between patients with keratoconus and healthy subjects. METHODS: Thirty-three keratoconus patients, and 47 age-gender matched healthy subjects were included in this prospective study. The plasma level of homocysteine, folic acid, and vitamin B",corneal_cxl_phrase|collagen_cxl_phrase,,,,
corpus,41232020,2025,Clinical & experimental optometry,Level of reactive oxygen species in keratoconic eyes wearing scleral lenses.,CLINICAL RELEVANCE: Oxidative stress and elevated reactive oxygen species (ROS) are implicated in corneal pathologies such as keratoconus. Understanding how scleral lens (SL) wear influence these mechanisms is important for optimizing patient management. BACKGROUND: To assess the alteration in ROS l,collagen_cxl_phrase,,,,
corpus,39681212,2024,Progress in retinal and eye research,Corneal cross-linking.,"First introduced over 20 years ago as a treatment for progressive keratoconus, the original ""Dresden"" corneal cross-linking (CXL) protocol involved riboflavin saturation of the stroma, followed by 30 min of 3 mW/cm2-intensity ultraviolet-A (UV-A) irradiation. This procedure generates reactive oxygen",corneal_cxl_phrase|CXL_abbrev|epi_on_off|riboflavin_uv|photoactivated_chromophore|mesh_CXL,,,,
corpus,30662839,2019,International journal of ophthalmology,Riboflavin/ultraviolet A-induced collagen cross-linking in rabbit corneal scar.,"AIM: To evaluate the biomechanical stability of the corneal scar treating with riboflavin and ultraviolet A (UVA). METHODS: Totally 86 New Zeal rabbits were divided into control group (group A, n=8) and trauma groups [group B (n=27), group C (n=24) and group D (n=27)]. Then groups B, C and D were di",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,22159012,2012,Investigative ophthalmology & visual science,Brillouin optical microscopy for corneal biomechanics.,"PURPOSE: The mechanical properties of corneal tissue are linked to prevalent ocular diseases and therapeutic procedures. Brillouin microscopy is a novel optical technology that enables three-dimensional mechanical imaging. In this study, the feasibility of this noncontact technique was tested for in",collagen_cxl_phrase,,,,
corpus,23385796,2013,Investigative ophthalmology & visual science,Reduction of stromal swelling pressure after UVA-riboflavin cross-linking.,"PURPOSE: We evaluated whether UVA-riboflavin collagen cross-linking (CXL) reduces stromal swelling pressure (SP) in porcine and human corneas ex vivo. METHODS: Porcine corneas (N = 35) were divided into five groups: Full-thickness buttons, riboflavin-treated buttons, CXL-treated buttons, riboflavin-",collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,33727638,2021,Scientific reports,Clinical and genomic features of Corynebacterium macginleyi-associated infectious keratitis.,Infectious keratitis is a potentially sight threatening ophthalmological emergency. Contact lens wear is a common risk factor. Diagnostic advances such as MALDI-TOF MS provides new insights into the spectrum of corneal pathogens and on microbes previously considered as commensals. Corynebacterium ma,corneal_cxl_phrase,,,,
corpus,29203068,2017,Ophthalmology,Prospective Randomized Trial of Corneal Cross-linking Riboflavin Dosing Frequencies for Treatment of Keratoconus and Corneal Ectasia.,"PURPOSE: To investigate whether the riboflavin dosing frequency affects corneal cross-linking efficacy or safety, given that isotonic riboflavin solution is viscous and each installation coats the corneal surface with a film that absorbs some of the incident ultraviolet A light. DESIGN: Prospective,",corneal_cxl_phrase|riboflavin_uv,,,,
corpus,34743098,2022,Cornea,Transepithelial Diluted Alcohol and Iontophoresis-Assisted Corneal Crosslinking for Progressive Keratoconus in Adults: 4-Year Clinical Results.,PURPOSE: The aim of this study was to compare the 4-year clinical outcomes of transepithelial diluted alcohol and iontophoresis-assisted corneal crosslinking (DAI-CXL) and standard corneal crosslinking (S-CXL) in adults with progressive keratoconus. METHODS: This retrospective study included 36 eyes,corneal_cxl_phrase|CXL_abbrev,,,,
corpus,36574086,2023,International ophthalmology,Correction: Choroidal thickness assessment in keratoconus patients treated with cross-linking compared to healthy population.,,bare_crosslink+disease,,,,
corpus,28590790,2017,Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,The Effect of Ascorbic Acid (Vitamin C) on Transepithelial Corneal Cross-Linking in Rabbits.,"PURPOSE: To evaluate the effects of ascorbic acid (vitamin C), the main antioxidant agent in the cornea on transepithelial corneal cross-linking (CXL) where the main mechanism is oxidation. METHODS: Twenty eyes of 20 rabbits were divided into 3 groups: Group 1 (7 eyes) had transepithelial corneal CX",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,39602353,2025,Journal of cataract and refractive surgery,Biomechanical corneal effects of LASIK Xtra compared with conventional FS-LASIK in high myopic eyes.,"PURPOSE: To investigate the in vivo corneal biomechanical response to FS-LASIK combined with accelerated corneal crosslinking (LASIK Xtra) compared with conventional FS-LASIK (convLASIK) in highly myopic eyes. SETTING: Department of Ophthalmology, Goethe-University, Frankfurt am Main, Germany. DESIG",corneal_cxl_phrase,,,,
corpus,27492105,2016,Journal of cataract and refractive surgery,Natural history of corneal haze after corneal collagen crosslinking in keratoconus using Scheimpflug analysis.,"PURPOSE: To analyze corneal haze after corneal collagen crosslinking (CXL) for progressive keratoconus using Scheimpflug densitometry. SETTING: Auckland District Health Board, Auckland, New Zealand. DESIGN: Prospective randomized controlled study. METHODS: Both eyes of all patients were examined pre",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,,,,
corpus,31706520,2019,Journal of cataract and refractive surgery,Corneal crosslinking: Current protocols and clinical approach.,"Members of the ASCRS Cornea Clinical Committee performed a review of the current literature on the corneal crosslinking (CXL) procedure for treating corneal ectasia. The members explored the data on the techniques currently in use and under investigation, including their advantages, safety profiles,",corneal_cxl_phrase|CXL_abbrev|epi_on_off|riboflavin_uv,,,,
corpus,34117699,2021,Clinical & experimental ophthalmology,"Five-year results of a prospective, randomised, contralateral eye trial of corneal crosslinking for keratoconus.","BACKGROUND: Few studies have evaluated corneal crosslinking (CXL) in a prospective, randomised fashion. This study aimed to determine the efficacy and safety of CXL to reduce the progression of keratoconus. METHODS: Prospective, unmasked, randomised, contralateral eye controlled trial at a tertiary ",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,26856432,2016,"Journal of refractive surgery (Thorofare, N.J. : 1995)","Erratum for ""Evaluation of Uva Cytotoxicity for Human Endothelium in an Ex Vivo Corneal Cross-Linking Experimental Setting"".",,corneal_cxl_phrase,,,,
corpus,28242885,2016,Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH,Collagen cross-linking in recalcitrant corneal ulcers: A case series.,INTRODUCTION: Corneal ulcer is a leading cause of blindness worldwide. Many of these patients don't respond to conventional treatment with topical agents. Collagen cross-linking (CXL) has been suggested to avoid complications requiring emergency keratoplasty. SUBJECTS AND METHODS: Six eyes with pres,collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,,,,
corpus,26114820,2015,Cornea,Treatment of Refractory Keratitis After a Boston Type I Keratoprosthesis With Corneal Collagen Cross-Linking.,PURPOSE: To report a patient with refractory keratitis after a Boston type I keratoprosthesis treated with corneal collagen cross-linking (CXL). METHODS: Case report. RESULTS: A 29-year-old man with a history of chemical burn in the left eye underwent keratoprosthesis implantation. He developed infe,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,,,,
corpus,23311742,2013,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Topography-guided transepithelial PRK after intracorneal ring segments implantation and corneal collagen CXL in a three-step procedure for keratoconus.,"PURPOSE: To present the results of topography-guided transepithelial photorefractive keratectomy (PRK) after intracorneal ring segments implantation followed by corneal collagen cross-linking (CXL) for keratoconus. METHODS: In this prospective case series, 10 patients (16 eyes) with progressive kera",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,,,,
