pmid,year,journal,title,decision,stage,rule_id,detail,flags
41242874,2025,Clinical & experimental optometry,"A review of technological advances in the management of bacterial, fungal, viral, and Acanthamoeba keratitis.",keep,keep,keep.content,signal='photoactivated chromophore' ophth='keratitis',ophthalmology_journal
41240241,2025,International ophthalmology,Comparison of t-PTK + CXL and CXL with mechanical debridement for keratoconus: fellow eye study.,keep,keep,keep.content,signal='CXL' ophth='keratocon',ophthalmology_journal
41232020,2025,Clinical & experimental optometry,Level of reactive oxygen species in keratoconic eyes wearing scleral lenses.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
41226888,2025,Journal of clinical medicine,Advancements and Innovations in Keratoconus Management: A Review of Current Practices.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',
41222196,2025,Translational vision science & technology,Quantitative Measurements of Stromal and Epithelial Riboflavin With a Novel Transepithelial High-Concentration Riboflavin Soak-and-Rinse Protocol.,keep,keep,keep.content,signal='Riboflavin' ophth='Stroma',ophthalmology_journal
41212961,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Extracorporeal Optimization of Corneal Allogenic Intrastromal Ring Segments (ECO-CAIRS) Using Ultra-high-Fluence Corneal Cross-linking.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
41212959,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",A Critical Reappraisal of the 400-μm Corneal Thickness Threshold for Endothelial Safety in Corneal Cross-linking.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
41212223,2025,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Update on pellucid marginal degeneration.,keep,keep,keep.content,signal='cross-link' ophth='pellucid',ophthalmology_journal
41207665,2025,Korean journal of ophthalmology : KJO,Vision-Related Quality of Life in Iraqi Keratoconus Patients: A Comparative Analysis of Surgical and Nonsurgical Interventions.,keep,keep,keep.content,signal='crosslink' ophth='Keratocon',ophthalmology_journal
41189774,2025,Romanian journal of ophthalmology,Visual and Refractive Outcomes of Toric Implantable Phakic Contact Lens in Stable Keratoconus - A retrospective interventional cross-sectional study.,keep,keep,keep.content,signal='cross-link' ophth='Refractive',ophthalmology_journal
41189771,2025,Romanian journal of ophthalmology,Unusual ectasia following corneal cross-linking in a patient with keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='ectasi',ophthalmology_journal
41189261,2025,Medicine,Reducing astigmatism following accelerated transepithelial corneal collagen cross-linking for keratoconus: A prospective study.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
41160984,2025,Journal of biophotonics,"Assessing Effects of Riboflavin/UV-A Cross-Linking on Aqueous Outflow Facility, Corneal Biomechanics and Their Association With Intraocular Pressure.",keep,keep,keep.content,signal='Riboflavin' ophth='Riboflavin',
41159468,2025,Vestnik oftalmologii,[Wavefront changes after local cross-linking for keratoconus].,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
41156010,2025,Journal of clinical medicine,Accelerated CXL Versus Accelerated Contact-Lens Assisted CXL Treatment for Progressive Keratoconus-A 3-Year Retrospective Comparative Follow-Up.,keep,keep,keep.content,signal='CXL' ophth='Keratocon',
41138289,2025,Journal francais d'ophtalmologie,Safety and efficacy of quercetin as an alternative to riboflavin in collagen cross-linking treatment.,keep,keep,keep.content,signal='riboflavin' ophth='riboflavin',ophthalmology_journal
41138021,2025,Japanese journal of ophthalmology,Evaluation of 60 months long-term results of accelerated corneal cross-linking treatment in pediatric keratoconus patients with new progression indices.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
41137571,2025,Ocular immunology and inflammation,Sterile Corneal Infiltrate: A Difficult Dilemma.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
41120701,2025,Scientific reports,Nanoindentation under retrocorneal pressure to determine the biomechanical response of the human cornea to accelerated UVA crosslinking and riboflavin osmolarity ex vivo.,keep,keep,keep.content,signal='UVA' ophth='cornea',
41118005,2025,International ophthalmology,Long-term outcomes after high-energy accelerated pulsed corneal cross-linking (15 mW/cm2; 7.2 J/cm2) for keratoconus: a 6 years retrospective analysis.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
41111175,2025,Eye & contact lens,Investigation of Epithelial Remodeling After Accelerated Epi-Off Cross-linking in Pediatric Keratoconus.,keep,keep,keep.content,signal='Epi-Off' ophth='Epitheli',ophthalmology_journal
41099592,2025,Translational vision science & technology,Long-Term Corneal Reshaping Using Riboflavin-UVA Crosslinking Combined With Decorin in Rabbits.,keep,keep,keep.content,signal='Riboflavin' ophth='Cornea',ophthalmology_journal
41077843,2025,Current eye research,Experimental Use of Ozone in Cross-Linking: Transforming Keratoconus Management.,keep,keep,keep.content,signal='Cross-Link' ophth='Keratocon',ophthalmology_journal
41072214,2025,"Journal of photochemistry and photobiology. B, Biology",A theoretical model for optimizing UVA/riboflavin crosslinking.,keep,keep,keep.content,signal='UVA' ophth='UVA',
41069410,2025,Frontiers in bioengineering and biotechnology,Hierarchical biomechanical characterisation of riboflavin-UVA crosslinking and decorin treatment in the porcine cornea.,keep,keep,keep.content,signal='riboflavin' ophth='riboflavin',
41067570,2025,Experimental eye research,Increased efficacy of accelerated corneal collagen crosslinking in rabbit ectasia models due to higher oxygen availability.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
41065737,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Long-term Results of Corneal Cross-linking for Recurrence of Keratoconus After Keratoplasty.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
41059234,2025,Beyoglu eye journal,Comparison of the Depth of the Stromal Demarcation Line and Clinical Outcomes in Corneal Crosslinking Treatment with Hydroxypropyl Methylcellulose-Based and Vitamin E-TPGS-Based Riboflavin Solutions.,keep,keep,keep.content,signal='Crosslink' ophth='Stroma',ophthalmology_journal
41035435,2025,Ophthalmology science,"Corneal Cross-Linking Induces Increased Corneal Refractive Index, Which Generates Measurement Error of Central Corneal Thickness.",keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
41024775,2025,Journal of ophthalmology,Comparison of Collagen Cross-Linking Alone to 1% Povidone-Iodine Treatment of Refractory Corneal Ulcers: A Randomized Clinical Trial.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
41022958,2025,Scientific reports,Ultraviolet A absorption coefficients of contact lenses for use in contact lens assisted corneal crosslinking for thin Corneas.,keep,keep,keep.content,signal='Ultraviolet A' ophth='cornea',
41016520,2025,American journal of ophthalmology,Effectiveness and Safety of Cross-Linking in Keratoconus Patients With Corneal Thickness <400 µm: A Systematic Review and Meta-analysis.,keep,keep,keep.content,signal='Cross-Link' ophth='Keratocon',ophthalmology_journal
41016259,2025,Journal of biomechanics,Regional evaluation of corneal biomechanical properties based on inflation tests.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
41010803,2025,Journal of clinical medicine,Cross-Linked Carboxymethyl Cellulose and Silk Proteins in Corneal Re-Epithelialization: A Case Series.,exclude,manual,manual.exclude,Cross-linked CMC/silk biomaterial for re-epithelialisation; not CXL procedure [Claude-proposed 2026-09-10],
41010702,2025,Journal of clinical medicine,Neural Network Prediction of Keratoconus in AIPL1-Linked Leber Congenital Amaurosis: A Proof-of-Concept Pilot Study.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',
41005617,2025,The ocular surface,Predictors of vision-related quality of life in patients treated for filamentous fungal keratitis.,keep,keep,keep.content,signal='Cross-Link' ophth='keratitis',ophthalmology_journal
41005610,2025,Experimental eye research,Bimodal ex vivo biomechanical characterization of corneal UVA-crosslinking via optical coherence elastography and nanoindentation under physiological conditions.,keep,keep,keep.content,signal='UVA' ophth='cornea',ophthalmology_journal
41003712,2025,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Correction: Visual rehabilitation in keratoconus by altering corneal shape using the corneal crosslinking pen: initial results.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal;no_abstract
40995987,2025,Cornea,Rates and Risk Factors for Failure After Corneal Collagen Crosslinking for Keratoconus: An IRIS Registry Analysis.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
40986049,2025,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Crosslinking for post refractive surgery ectasia: application and clinical outcomes.,keep,keep,keep.content,signal='Crosslink' ophth='refractive',ophthalmology_journal
40985801,2025,Investigative ophthalmology & visual science,Predicting the Effects of Customized Corneal Cross-Linking on Corneal Geometry.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
40981503,2025,Journal of medical economics,Economics of corneal cross-linking for keratoconus treatment.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
40977849,2025,Therapeutic advances in ophthalmology,Intrastromal corneal ring segments for keratoconus: a comprehensive review of different types.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
40963953,2025,"Clinical ophthalmology (Auckland, N.Z.)",Outcomes of Collagen Crosslinking in Patients with Keratoconus and Co-Existent Limbal Stem Cell Deficiency.,keep,keep,keep.content,signal='Crosslink' ophth='Keratocon',ophthalmology_journal
40943747,2025,Journal of clinical medicine,Infectious Keratitis Management: 10-Year Update.,keep,keep,keep.content,signal='riboflavin' ophth='Keratitis',
40936031,2025,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Corneal stability comparison between prophylactic cross-linking with laser refractive surgery technique versus laser refractive surgery technique alone for myopia: a meta-analysis.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
40924118,2025,Die Ophthalmologie,[Keratoconus progression assessment].,keep,keep,keep.content,signal='crosslink' ophth='Keratocon',ophthalmology_journal
40923612,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Corneal Cross-linking in Pediatric Populations: Systematic Review and Future Perspectives.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
40922458,2025,Clinical & experimental ophthalmology,Screening Plus Corneal Cross-Linking for Keratoconus Is Cost-Effective for New Zealand: A Proof-of-Concept Markov Analysis.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
40884264,2025,Seminars in ophthalmology,Surgical Management of Corneal Sequelae of Vernal Keratoconjunctivitis.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
40882695,2025,Photodiagnosis and photodynamic therapy,Characteristics of corneal biomechanical parameters and corneal thickness measured by Corvis ST and AS-OCT in progressive keratoconus treated by accelerated corneal cross-linking.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
40877860,2025,BMC ophthalmology,Keratoconus and quality of life: an updated comprehensive review.,keep,keep,keep.content,signal='crosslink' ophth='Keratocon',ophthalmology_journal
40858243,2025,"Journal of the Royal Society, Interface",Evaluating corneal cross-linking using Stress-Strain Index maps: a finite element study.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
40879550,2025,Current eye research,The Influence of Cone Location and Phenotype on the Risk and Rate of Keratoconus Progression.,keep,keep,keep.content,signal='crosslink' ophth='Keratocon',ophthalmology_journal;cxl_signal_in_keywords_only
40875071,2025,International ophthalmology,Delayed corneal haze after combined photorefractive keratectomy and corneal cross-linking in non-keratoconus patients.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
40875067,2025,International ophthalmology,Corneal collagen cross-linking combined with lamellar keratoplasty in the treatment of Acanthamoeba keratitis.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',ophthalmology_journal
40866781,2025,Ophthalmology and therapy,Clinical Outcomes of Repeated Corneal Crosslinking for Progressive Keratoconus After Failure of Primary Procedure; Safety and Efficacy at 12-Month Follow-Up.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',ophthalmology_journal
40859367,2025,International journal of retina and vitreous,Retinal and choroidal changes following corneal collagen cross-linking in keratoconus: a systematic review and meta-analysis of OCT and OCTA studies.,keep,keep,keep.content,signal='cross-link' ophth='Retina',ophthalmology_journal
40856685,2025,Cornea,A Systematic Review and Meta-Analysis Comparing Epithelium-On and Epithelium-Off Corneal Collagen Cross-Linking in Keratoconus Management: Integrating New Evidence.,keep,keep,keep.content,signal='Epithelium-On' ophth='Epitheli',ophthalmology_journal
40832557,2025,"Clinical ophthalmology (Auckland, N.Z.)",Repeatability of a Dual-Scheimpflug Placido Disc Corneal Tomographer/Topographer in Eyes with Keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='Scheimpflug',ophthalmology_journal
40808215,2025,Korean journal of ophthalmology : KJO,Efficacy and Safety of 7.2 J/cm2 Accelerated Corneal Cross-Linking in Pediatric and Adult Keratoconus: A Comparative Study.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
40806799,2025,Journal of clinical medicine,"Pellucid Marginal Degeneration: A Comprehensive Review of Pathophysiology, Diagnosis, and Management Strategies.",keep,keep,keep.content,signal='cross-link' ophth='Pellucid',
40802143,2025,International ophthalmology,Two-year outcomes of accelerated contact lens-assisted corneal crosslinking versus accelerated corneal crosslinking: a comparative study.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
40801382,2025,Cornea,Delayed Onset Infectious Crystalline Keratopathy After Corneal Cross-linking.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
40793233,2025,Applied optics,Method for quality-assessing excised human corneal buttons for nanoparticle visualization.,exclude,manual,manual.exclude,Optical quality assessment of corneal buttons for nanoparticle imaging; not CXL [Claude-proposed 2026-09-10],
40785319,2025,European journal of ophthalmology,Topographic and biomechanical comparison of diluted alcohol and iontophoresis-assisted versus accelerated corneal crosslinking in keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='Topograph',ophthalmology_journal
40773279,2025,Optometry and vision science : official publication of the American Academy of Optometry,Evaluation of keratoconus and its impact on vision-related quality of life.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
40768427,2025,Cornea,Keratoconus in Sub-Saharan Africa: A Scoping Review.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',ophthalmology_journal
40764097,2025,[Zhonghua yan ke za zhi] Chinese journal of ophthalmology,[Paying attention to the timing and methods of minimally invasive surgery for the treatment of keratoconus].,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
40762451,2025,Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists),Association between corneal densitometry at initial presentation and future progression across age groups in keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
40761516,2025,Materials today. Bio,Construction and characteristics of an adjustable biomechanical in vitro corneal stromal model simulating keratoconus pathological features.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
40755901,2025,Materials today. Bio,A bioequivalent cornea cross-linking method using photo-initiators LAP and visible light.,keep,keep,keep.content,signal='cross-link' ophth='cornea',
40747622,2025,Current opinion in allergy and clinical immunology,The immunopathology of keratoconus: tear film biomarkers and immune pathways.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',cxl_signal_in_keywords_only
40706041,2025,The New Zealand medical journal,Barriers to entry for keratoconus patients to corneal cross-linking services in provincial New Zealand: a patient and family qualitative research project.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',
40705354,2025,JAMA ophthalmology,Steroids and Cross-Linking for Ulcer Treatment: The SCUT II Randomized Clinical Trial.,keep,keep,keep.content,signal='Cross-Link' ophth='cornea',ophthalmology_journal
40699110,2025,Arquivos brasileiros de oftalmologia,Injectable platelet-rich fibrin for corneal epithelium healing: An in vivo confocal microscopy study after crosslinking.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
40698114,2025,Romanian journal of ophthalmology,Standard and accelerated crosslinking protocols in keratoconus - differences and evolution at one year.,keep,keep,keep.content,signal='crosslink' ophth='keratocon',ophthalmology_journal
40676279,2025,International ophthalmology,Management of post-cataract surgery corneal fungal tunnel infections.,keep,keep,keep.content,signal='PACK-CXL' ophth='cornea',ophthalmology_journal;cxl_signal_in_keywords_only
40666275,2025,"Clinical ophthalmology (Auckland, N.Z.)",Intracorneal Ring Segments in Keratoconus: A Narrative Literature Review.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',ophthalmology_journal
40659372,2025,BMJ open ophthalmology,Polihexanide (PHMB) 0.08% versus currently used treatments for Acanthamoeba keratitis: indirect treatment comparisons.,keep,keep,keep.content,signal='CXL' ophth='keratitis',ophthalmology_journal
40649066,2025,Journal of clinical medicine,Ten Years' Experience Using Proxymetacaine Hydrochloride 0.5% for Postoperative Pain Control in Epithelium-Off Corneal Crosslinking.,keep,keep,keep.content,signal='Epithelium-Off' ophth='Epitheli',
40648862,2025,Journal of clinical medicine,Impact of Corneal Crosslinking on Endothelial and Biomechanical Parameters in Keratoconus.,keep,keep,keep.content,signal='Crosslink' ophth='Cornea',
40630944,2025,Frontiers in bioengineering and biotechnology,"Investigation of corneal hydration and the impact of cross-linking therapy on water retention using Brillouin spectroscopy, Raman spectroscopy and polarization-sensitive optical coherence tomography.",keep,manual,manual.include,Corneal hydration and CXL therapy [Claude-proposed 2026-09-10],
40630907,2025,Journal of ophthalmology,Individual Risk Assessment and Prognostication of Outcomes After Corneal Cross-Linking.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
40630024,2025,Acta ophthalmologica,A randomised controlled trial on cross-linking protocols for the treatment of progressive keratoconus using isoosmolar and hypoosmolar riboflavin with the addition of sterile water in thin corneae.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
40629561,2025,Canadian journal of ophthalmology. Journal canadien d'ophtalmologie,Long-term efficacy of accelerated corneal collagen cross-linking for keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal;no_abstract
40626437,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",A Transepithelial Corneal Cross-linking (CXL) Protocol Providing the Same Biomechanical Strengthening as Accelerated Epithelium-off CXL.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
40626435,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Brillouin Microscopy: An Emerging Tool for Biomechanical Analysis in Ophthalmology.,keep,keep,keep.content,signal='cross-link' ophth='Ophthalm',ophthalmology_journal
40626433,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Customized Corneal Allogeneic Intrastromal Ring Segments (CAIRS) With Corneal Cross-linking for Post-LASIK Ectasia.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
40626430,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Corneal Densitometry and Higher Order Aberrations After Corneal Transplantation and Corneal Cross-Linking for Keratoconus: 3-Year Results.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
40626429,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Assessing Endothelial Integrity in Patients With Progressive Keratoconus and Thin Corneas Treated With the Sub400 Corneal Cross-linking Protocol.,keep,keep,keep.content,signal='Cross-link' ophth='Endotheli',ophthalmology_journal
40597090,2025,BMC ophthalmology,A comparative analysis of the 1-year outcomes of modified Athens protocol versus Cretan protocol in the treatment of progressive keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
40596945,2025,BMC ophthalmology,"Evaluation of refractive, tomographic and biomechanical changes after customized accelerated corneal collagen cross-linking in keratoconus patients: a retrospective observational study.",keep,keep,keep.content,signal='cross-link' ophth='refractive',ophthalmology_journal
40591368,2025,Cornea,Evaluation of Clinical Profile and Management Modalities in Eyes With Progressive Keratoconus After Primary Collagen Cross-Linking.,keep,keep,keep.content,signal='Cross-Link' ophth='Eyes',ophthalmology_journal
40586201,2025,Indian journal of ophthalmology,Collagen crosslinking in thin corneas.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
40586186,2025,Indian journal of ophthalmology,Clinical outcomes of Bowman-Stromal inlay and corneal collagen crosslinking in contralateral eyes in patients with progressive keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='Stroma',ophthalmology_journal
40585528,2025,Therapeutic advances in ophthalmology,Repeated corneal crosslinking for progressive keratoconus: efficiency and safety.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
