pmid,year,journal,title,stage,rule_id,detail
34829196,2021,"Journal of fungi (Basel, Switzerland)",Recent Perspectives in the Management of Fungal Keratitis.,manual,manual.exclude,Fungal keratitis management review; collagen crosslinking mentioned in one sentence as context [Claude-proposed 2026-09-10]
34592226,2021,International journal of biological macromolecules,Photo-crosslinked GelMA/collagen membrane loaded with lysozyme as an antibacterial corneal implant.,manual,manual.exclude,"Photo-crosslinked GelMA/collagen membrane as antibacterial corneal implant; biomaterial, not CXL [Claude-proposed 2026-09-10]"
34301082,2021,Polymers,A Critical Review for Synergic Kinetics and Strategies for Enhanced Photopolymerizations for 3D-Printing and Additive Manufacturing.,journal,journal.polymer,Polymer
34277654,2021,Frontiers in medicine,Shaping Eyeballs by Scleral Collagen Cross-Linking: A Hypothesis for Myopia Treatment.,manual,manual.exclude,Scleral (not corneal) cross-linking hypothesis for myopia [Claude-proposed 2026-09-10]
33791355,2021,Frontiers in veterinary science,Case Report: Successful Management of Refractory Keratomycosis in an Alpaca Using Penetrating Keratoplasty and Combination Antifungal Therapy (Caspofungin 0.5% and Terbinafine 1%).,manual,manual.exclude,"Alpaca keratomycosis case (PK + antifungals); 'corneal crosslinking' keyword only, procedure not used [Claude-proposed 2026-09-10]"
33682969,2021,Xenotransplantation,"Invited commentary on ""Deep Anterior lamellar keratoplasty with Cross-linked Acellular Porcine Corneal Stroma to Manage Fungal Keratitis"".",manual,manual.exclude,"Commentary on DALK with cross-linked acellular porcine corneal stroma; graft-material crosslinking, not CXL [Claude-proposed 2026-09-10]"
33549965,2021,Medical hypotheses,Vitreous collagen cross-linking and maturation and interactions with internal limiting membrane (ILM) collagen may have a potential role in modulating postnatal growth of the eyeball.,manual,manual.exclude,Vitreous collagen cross-linking; not corneal [Claude-proposed 2026-09-10]
33103812,2020,Xenotransplantation,Deep anterior lamellar keratoplasty with cross-linked acellular porcine corneal stroma to manage fungal keratitis.,manual,manual.exclude,"DALK with cross-linked acellular porcine corneal stroma; graft-material crosslinking, not CXL [Claude-proposed 2026-09-10]"
33058750,2020,Journal of biomaterials science. Polymer edition,Hyaluronic acid and graphene oxide loaded silicon contact lens for corneal epithelial healing.,journal,journal.biomaterials,biomaterial
32525050,2020,Acta biomaterialia,Changes and quantitative characterization of hyper-viscoelastic biomechanical properties for young corneal stroma after standard corneal cross-linking treatment with different ultraviolet-A energies.,journal,journal.biomaterials,biomaterial
35187447,2019,Beyoglu eye journal,Manual Intracorneal Silicone Oil Insertion for Symptomatic Treatment of Bullous Keratopathy in a Patient with Corneal Scarring.,manual,manual.exclude,Intracorneal silicone oil for bullous keratopathy; collagen crosslinking listed once among alternative treatments [Claude-proposed 2026-09-10]
30826578,2019,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",Photocrosslinking of collagen using Ru(II)-polypyridyl complex functionalized gold nanoparticles.,manual,manual.exclude,Ru(II)/gold nanoparticle photocrosslinking of collagen; materials chemistry [Claude-proposed 2026-09-10]
29799859,2018,PloS one,Transient viscous response of the human cornea probed with the Surface Force Apparatus.,manual,manual.exclude,Surface Force Apparatus viscous response of cornea; CXL mentioned only as context [Claude-proposed 2026-09-10]
28855517,2017,Scientific reports,Cross-linked decellularized porcine corneal graft for treating fungal keratitis.,manual,manual.exclude,"Cross-linked decellularised porcine corneal graft; graft-material crosslinking, not CXL [Claude-proposed 2026-09-10]"
26952586,2016,Journal of applied biomaterials & functional materials,Investigation into the elastic properties of ex vivo porcine corneas subjected to inflation test after cross-linking treatment.,journal,journal.biomaterials,biomaterial
25955559,2015,Journal of the mechanical behavior of biomedical materials,Air-puff associated quantification of non-linear biomechanical properties of the human cornea in vivo.,manual,manual.exclude,Air-puff biomechanics method; CXL mentioned only as motivation [Claude-proposed 2026-09-10]
24596431,2013,Journal of applied polymer science,Mechanistic and Catalytic Studies of β-Nitroalcohol Crosslinking with Polyamine.,journal,journal.polymer,polymer
24265319,2013,The Journal of biological chemistry,"Lateral growth limitation of corneal fibrils and their lamellar stacking depend on covalent collagen cross-linking by transglutaminase-2 and lysyl oxidases, respectively.",manual,manual.exclude,Biochemistry of native collagen cross-links (transglutaminase/lysyl oxidase); not the CXL procedure [Claude-proposed 2026-09-10]
22553753,2012,International journal of ophthalmology,Study on the optical property and biocompatibility of a tissue engineering cornea.,manual,manual.exclude,"EDC-crosslinked tissue-engineered cornea; biomaterial, not CXL [Claude-proposed 2026-09-10]"
20006338,2009,Journal of biomechanics,Biomechanical model of human cornea based on stromal microstructure.,manual,manual.exclude,Constitutive corneal model; cross-linking refers to native age-related cross-links [Claude-proposed 2026-09-10]
19686668,2009,Biophysical journal,Structural characterization of edematous corneas by forward and backward second harmonic generation imaging.,manual,manual.exclude,"SHG structure of oedematous corneas; native cross-link strength, not CXL [Claude-proposed 2026-09-10]"
19576630,2009,Biomaterials,Synthetic neoglycopolymer-recombinant human collagen hybrids as biomimetic crosslinking agents in corneal tissue engineering.,journal,journal.biomaterials,Biomaterial
17226767,2007,Journal of cellular biochemistry,Periostin regulates collagen fibrillogenesis and the biomechanical properties of connective tissues.,manual,manual.exclude,Periostin and collagen fibrillogenesis; not CXL [Claude-proposed 2026-09-10]
16359253,2006,Expert review of medical devices,Progress in the development of a corneal replacement: keratoprostheses and tissue-engineered corneas.,manual,manual.exclude,Keratoprosthesis/tissue-engineered cornea review; not CXL [Claude-proposed 2026-09-10]
15017101,2004,Ophthalmic research,Cross-linking of human amniotic membrane by glutaraldehyde.,manual,manual.exclude,Glutaraldehyde cross-linking of amniotic membrane; not corneal CXL [Claude-proposed 2026-09-10]
14612343,2003,Drug delivery,In vitro and in vivo characterization of scleral implant of indomethacin: role of plasticizer and cross-linking time.,manual,manual.exclude,"Calcium-chloride cross-linked alginate scleral implant of indomethacin; drug delivery, not CXL [Claude-proposed 2026-09-10]"
12462640,2002,Photochemistry and photobiology,Photoactivated coumaryl-diazopyruvate fluorescent label for amine functional groups of tissues containing type-I collagen.,manual,manual.exclude,"Timberlake 2002, Photochem Photobiol: synthesis of a coumaryl-diazopyruvate fluorescent label for collagen amines as a precursor to a photoactivated collagen-crosslinking agent for surgical wound closure; tendon and cornea used only as test tissue. Not riboflavin/UVA corneal cross-linking. [MH 2026-"
