pmid,status,year,journal,title,arm,flags
40547853,added,2021,Veterinarni medicina,Efficacy of riboflavin/UV-A corneal phototherapy as stand-alone treatment for ulcerative keratitis in horses.,corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,
40536502,added,2025,Lupus,Sirtuin-1 in systemic lupus erythematosus: Frequency of keratoconjunctivitis sicca and relation to disease activity.,none_in_text,no_cxl_signal_in_text
40534811,added,2025,International journal of ophthalmology,Corneal surface changes after stromal lenticule addition keratoplasty combined with cross-linking for severe keratoconus.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
40456396,added,2025,American journal of ophthalmology,Combined Accelerated Crosslinking With Laser In Situ Keratomileusis (LASIK) for Myopic Patients: A Systematic Review and Meta-Analysis.,bare_crosslink+disease,ophthalmology_journal
40257878,added,2025,IEEE transactions on bio-medical engineering,Method for Assessing Local Mechanical Properties of the Cornea Based on Spectroscopic Magnetomotive Optical Coherence Elastography.,CXL_abbrev|bare_crosslink+disease,
40157723,added,2025,BMJ open ophthalmology,Effect of high and low molecular weight sodium hyaluronic acid eye drops on corneal recovery after crosslinking in keratoconus patients.,corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
40091159,added,2025,Veterinary ophthalmology,Enhanced Tear Film Concentrations of Cefazolin and Chloramphenicol Using Cross-Linked Hyaluronic Acid in Canine Eyes.,bare_crosslink+disease,ophthalmology_journal
40088395,added,2025,Ophthalmology and therapy,Varenicline Nasal Spray for the Treatment of Dry Eye Disease Following Corneal Collagen Crosslinking.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,ophthalmology_journal
40083774,added,2025,Bioactive materials,In situ UNIversal Orthogonal Network (UNION) bioink deposition for direct delivery of corneal stromal stem cells to corneal wounds.,collagen_cxl_phrase,
40058739,added,2025,International journal of pharmaceutics,"Optimizing riboflavin delivery with co-crystal and in situ hydrogel formulations for management of keratoconus: A comprehensive investigation with in vitro, ex ",corneal_cxl_phrase|epi_on_off|riboflavin_uv,
40054831,added,2025,Experimental eye research,Riboflavin-UV crosslinking of the cornea: Wound healing and biomechanics.,CXL_abbrev|epi_on_off|riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
40023354,added,2025,American journal of ophthalmology,Efficacy of Customized Photorefractive Keratectomy With Cross-Linking Versus Cross-Linking Alone in Progressive Keratoconus: A Systematic Review and Meta-Analys,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
40015314,added,2025,Klinische Monatsblatter fur Augenheilkunde,"Outcomes after Implantation of KeraNatural, a Sterile Corneal Allograft Intrastromal Ring Segment (CAIRS), in Eyes with Keratoconus.",CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
39988435,added,2025,Current eye research,Comparison of Keratoconus Progression Rate between Adolescents Aged 19-24 Years and Young Adults: Impact on Indication for Crosslinking.,bare_crosslink+disease,ophthalmology_journal
39956631,added,2025,Journal of biophotonics,Assessing UVA and Laser-Induced Crosslinking via Brillouin Microscopy.,bare_crosslink+disease,
39935895,added,2025,Materials today. Bio,Photochemical corneal cross-linking: Evaluating the potential of a hand-held biopen.,corneal_cxl_phrase|CXL_abbrev,
39913949,added,2025,Journal of optometry,Evaluation of the repeatability of corneal epithelial thickness mapping in healthy and keratoconic eyes with two spectral domain optical coherence tomography.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
39883547,added,2025,Investigative ophthalmology & visual science,Proteomics Reveals Mechanisms of Delayed Keratoconus Progression: A Study of Corneas Following Two Light-Activated Crosslinking Treatments.,riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
39828103,added,2025,"Methods (San Diego, Calif.)",Xenographic lenticule implantation followed by riboflavin and UV treatment: A promising alternative for corneal ectasias management.,riboflavin_uv|bare_crosslink+disease,
39812204,added,2025,La Tunisie medicale,"Keratoconus in children in Tunisia: Epidemiological, clinical and therapeutic features.",CXL_abbrev|bare_crosslink+disease,
39803133,added,2024,Cureus,Experimental Evaluation of Ocular Rigidity and Pressure-Volume Relationship After Ex-Vivo Scleral Cross-Linking With Riboflavin and Ultraviolet A in Porcine Eye,riboflavin_uv|bare_crosslink+disease,
39694162,added,2024,International journal of pharmaceutics,Intracorneal iontophoretic delivery of triamcinolone acetonide prodrugs: Physicochemical parameters guiding electrotransport.,CXL_abbrev,
39681236,added,2024,Experimental eye research,Inhibition of matrix metalloproteases by a chemical cross-linker to halt the corneal degradation in keratoconus.,CXL_abbrev|riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
39667724,added,2024,Journal of biophotonics,Theranostic-Guided UV-A Light Corneal Wavefront Photo-Reshaping for Presbyopia Correction: A Preclinical Study.,riboflavin_uv,
39665995,added,2024,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Topical losartan ophthalmic drops - a review of corneal wound healing and topical losartan for managing corneal haze and potential future indications.,corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
39656257,added,2024,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Transepithelial Versus Epithelium-off Photorefractive Keratectomy in High Compound Myopic Astigmatism: A Contralateral Eye Study.,epi_on_off,ophthalmology_journal
39600613,added,2024,"Clinical ophthalmology (Auckland, N.Z.)","""Outcomes of Iontophoresis Cross-Linking in Asymmetric Keratoconus: A Retrospective Analysis of High Visual Acuity Eyes Under 25 Years Old"".",CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
39444422,added,2024,Journal of ophthalmology,The Impact of Standard Cross-Linking on the Corneal Optical Density-Age Relationship in Keratoconus After Mechanical Stripping of the Epithelium.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
39435192,added,2024,Cureus,Harnessing Corneal Stromal Regeneration for Vision Restoration: A Comprehensive Review of the Emerging Treatment Techniques for Keratoconus.,corneal_cxl_phrase|CXL_abbrev,
39365247,added,2024,Translational vision science & technology,In Vivo Femtosecond Laser Machined Transepithelial Nonlinear Optical Corneal Crosslinking Compared to Ultraviolet Corneal Crosslinking.,corneal_cxl_phrase|CXL_abbrev|riboflavin_uv,ophthalmology_journal
39342257,added,2024,Journal of nanobiotechnology,Responsive porous microneedles with riboflavin ocular microinjection capability for facilitating corneal crosslinking.,corneal_cxl_phrase|CXL_abbrev,
39297889,added,2024,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Changing indications for keratoplasty: monocentric analysis of the past two decades.,CXL_abbrev|riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
39170804,added,2022,Veterinarni medicina,Riboflavin/UV-A corneal phototherapy as stand-alone management of ulcerative keratitis in dogs.,CXL_abbrev|riboflavin_uv|bare_crosslink+disease,
39140888,added,2024,European journal of ophthalmology,A bibliometric and citation network analysis of crosslinking.,collagen_cxl_phrase|riboflavin_uv,ophthalmology_journal
38983516,added,2022,Frontiers in ophthalmology,Opinion: Is Pain an Overlooked Patient Outcome? Elevating Post-Operative Pain Above a Footnote.,CXL_abbrev,ophthalmology_journal;no_abstract;cxl_signal_in_keywords_only;ophthalmic_term_absent_journal_vouches
38929636,added,2024,"Life (Basel, Switzerland)",Compatibility of a New Ocular Surface Dye with Disposable and Bi-Weekly Soft Contact Lenses: An Experimental Study.,none_in_text,
38772872,added,2024,BMJ case reports,Diagnostic utility of in vivo confocal microscopy in Acanthamoeba keratitis following corneal crosslinking.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,
38654992,added,2024,Taiwan journal of ophthalmology,Lamellar surgeries with SMILE-derived lenticules.,riboflavin_uv,ophthalmology_journal
38623696,added,2024,European journal of ophthalmology,Immediate postoperative keratitis caused by Rhizopus species following standard CXL for keratoconus: A case report and literature review.,CXL_abbrev|epi_on_off,ophthalmology_journal
38593263,added,2024,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Comparative Evaluation of Topographic Parameters Using Three Different Topographers in Keratoconic and Cross-linked Keratoconic Corneas.,bare_crosslink+disease,ophthalmology_journal
38557918,added,2024,Japanese journal of ophthalmology,Evaluation of the results of contact lens assisted corneal cross-linking treatment in keratoconus patients with thin corneas.,corneal_cxl_phrase|CXL_abbrev|epi_on_off|mesh_CXL,ophthalmology_journal
38451681,added,2024,Arquivos brasileiros de oftalmologia,Ultraviolet-A absorbance analysis in thin porcine corneas pre-and post-crosslinking.,riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
38446253,added,2024,Molecular biology reports,Use of discarded corneo-scleral rims to create cornea-like tissue.,collagen_cxl_phrase,
38401513,added,2024,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,UV-stimulated riboflavin exerts immunosuppressive effects in BALB/c mice and human PBMCs.,riboflavin_uv,
38376862,added,2024,Translational vision science & technology,In Vivo Evaluation of Corneal Biomechanics Following Cross-Linking Surgeries Using Optical Coherence Elastography in a Rabbit Model of Keratoconus.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
38357612,added,2023,"Medical hypothesis, discovery & innovation ophthalmology journal",Outcomes of the Q value-based nomogram in managing pediatric versus adult keratoconus: a prospective interventional study.,CXL_abbrev,ophthalmology_journal
38292881,added,2023,American journal of ophthalmology case reports,Unilateral progressive keratoconus associated with ipsilateral craniofacial fibrous dysplasia treated with corneal cross-linking.,corneal_cxl_phrase|collagen_cxl_phrase,ophthalmology_journal
38274339,added,2024,Experimental and therapeutic medicine,Efficacy of enzyme‑induced collagen crosslinking on porcine cornea.,collagen_cxl_phrase|CXL_abbrev,
38261806,added,2021,Conference on Lasers and Electro-optics : (CLEO). Conference on Lasers and Electro-optics,A Novel Fiber-Optic Confocal Laser Caliper Approach for Non-Contact Optical Characterization of Silk Fibroin Thin Films Created by Riboflavin Photo-Crosslinking,bare_crosslink+disease,
38203537,added,2023,International journal of molecular sciences,Level of Secretion and the Role of the Nerve Growth Factor in Patients with Keratoconus before and after Collagen Fibre Cross-Linking Surgery.,CXL_abbrev|bare_crosslink+disease,
38131919,added,2023,"Gels (Basel, Switzerland)",Sustained Release of Voriconazole Using 3D-Crosslinked Hydrogel Rings and Rods for Use in Corneal Drug Delivery.,bare_crosslink+disease,
37985976,added,2023,BMC ophthalmology,Observation and assessment of the immediate use of a silicon hydrogel contact lens after transepithelial corneal cross linking: a prospective study.,corneal_cxl_phrase|CXL_abbrev|mesh_CXL,ophthalmology_journal
37859806,added,2023,Molecular vision,Collagen crosslinking impacts stromal wound healing and haze formation in a rabbit phototherapeutic keratectomy model.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off|riboflavin_uv,ophthalmology_journal
37689255,added,2023,International journal of pharmaceutics,"A promising synthetic citric crosslinked β-cyclodextrin derivative for antifungal drugs: Solubilization, cytotoxicity, and antifungal activity.",bare_crosslink+disease,
37602609,added,2023,Indian journal of ophthalmology,"Outcomes of topography-guided PRK/CXL in keratoconus using the NIDEK CXIII system-""Bharat Protocol"" (Pilot study).",CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
37506367,added,2023,Cornea,Factors Associated With Receipt of Crosslinking for Keratoconus.,CXL_abbrev|epi_on_off|bare_crosslink+disease,ophthalmology_journal
37483635,added,2023,Frontiers in immunology,Sequence variants contributing to dysregulated inflammatory responses across keratoconic cone surface in adolescent patients with keratoconus.,CXL_abbrev,
37335854,added,2023,Cornea,Characterization of the Immediate and Delayed Biomechanical Response to UV-A Crosslinking of Human Corneas.,CXL_abbrev|riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
37298028,added,2023,Journal of clinical medicine,Impact of Cross-Linking Procedure on Perioperative Quality of Life in Keratoconus Patients.,CXL_abbrev|bare_crosslink+disease,
37277716,added,2023,BMC ophthalmology,Increased METTL3 expression and m6A RNA methylation may contribute to the development of dry eye in primary Sjögren's syndrome.,none_in_text,ophthalmology_journal;no_cxl_signal_in_text
37271309,added,2023,Experimental eye research,"The impact of UV cross-linking on corneal stromal cell migration, differentiation and patterning.",corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
37208674,added,2023,BMC ophthalmology,Efficacy of customized corneal crosslinking versus standard corneal crosslinking in patients with progressive keratoconus (C-CROSS study): study protocol for a ,corneal_cxl_phrase|CXL_abbrev|riboflavin_uv,ophthalmology_journal
37195564,added,2023,International ophthalmology,Determination of efficacy of repeated CXL and probable risk factors in patients with progressive keratoconus.,CXL_abbrev,ophthalmology_journal
37140143,added,2023,Acta ophthalmologica,Analysis of the outcomes of three different cross-linking protocols for treatment of paediatric keratoconus: A multicentre randomized controlled trial.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
37126648,added,2023,ACS applied bio materials,Collagen Gels Crosslinked by Photoactivation of Riboflavin for the Repair and Regeneration of Corneal Defects.,riboflavin_uv|bare_crosslink+disease,
37101407,added,2023,European journal of ophthalmology,Comparison of outcomes between cross-linking plus topoguided excimer laser ablation and intrastromal corneal ring segments for keratoconus.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
37098115,added,2023,Cornea,Assessment of Health Disparities and Barriers to Accessing Keratoconus and Crosslinking at a Tertiary Referral Center.,bare_crosslink+disease,ophthalmology_journal
37074409,added,2023,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Corneal stromal regeneration-keratoconus cell therapy: a review.,corneal_cxl_phrase|collagen_cxl_phrase,ophthalmology_journal
36844364,added,2023,Bioactive materials,"A ""T.E.S.T."" hydrogel bioadhesive assisted by corneal cross-linking for in situ sutureless corneal repair.",corneal_cxl_phrase|CXL_abbrev,
36811882,added,2023,Investigative ophthalmology & visual science,The Impaired Wound Healing Process Is a Major Factor in Remodeling of the Corneal Epithelium in Adult and Adolescent Patients With Keratoconus.,CXL_abbrev,ophthalmology_journal
36728310,added,2023,Cornea,Introducing a Revised Tissue Saving Protocol for Combined Topography-Guided Photorefractive Keratectomy and Cross-Linking in Keratoconic Corneas.,bare_crosslink+disease,ophthalmology_journal
36728218,added,2023,Cornea,Ophthalmic Manifestations of Arterial Tortuosity Syndrome: Case Series of Patient and Carriers.,corneal_cxl_phrase,ophthalmology_journal
36574086,added,2023,International ophthalmology,Correction: Choroidal thickness assessment in keratoconus patients treated with cross-linking compared to healthy population.,bare_crosslink+disease,ophthalmology_journal;no_abstract
36542255,added,2022,Ophthalmology and therapy,Clinical Feasibility and Safety of Scleral Collagen Cross-Linking by Riboflavin and Ultraviolet A in Pathological Myopia Blindness: A Pilot Study.,collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,ophthalmology_journal
36439563,added,2022,Cureus,Outcomes of Epi-On Collagen Cross-Linkage Procedure Assessed in Progressive Keratoconus Patients.,collagen_cxl_phrase|CXL_abbrev|epi_on_off|riboflavin_uv,
36346320,added,2022,Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,Experimental Oxidative Stress Breaks Down the Barrier Function of the Corneal Endothelium.,riboflavin_uv,ophthalmology_journal
36261493,added,2022,"Eye (London, England)","Specialist nurse-led cross-linking service for Keratoconus, the Leeds experience.",bare_crosslink+disease,ophthalmology_journal;no_abstract
36237558,added,2022,Journal of ophthalmology,A Critical Assessment of Friedenwald's Technique for Estimating the Coefficient of Rigidity of the Cornea.,CXL_abbrev|epi_on_off|bare_crosslink+disease,ophthalmology_journal
36062606,added,2022,European journal of ophthalmology,Comparison of safety and efficacy of silicone hydrogel contact Lens-assisted CXL and accelerated CXL in keratoconus patients with thin corneas.,corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
36048013,added,2022,Translational vision science & technology,Carbon Nanostructures for Ocular Tissue Reinforcement.,riboflavin_uv|bare_crosslink+disease,ophthalmology_journal
35950026,added,2022,Case reports in ophthalmology,Cross-Linking Pack Plus Plasma in the Mycotic Corneal Ulcer Case Report.,bare_crosslink+disease,ophthalmology_journal
35946998,added,2022,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Three-Year Outcomes of Under-flap Stromal Bed CXL for Early Post-LASIK Ectasia.,CXL_abbrev|riboflavin_uv,ophthalmology_journal
35790570,added,2022,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Changes in retinal vessel and retinal layer thickness after cross-linking in keratoconus via swept-source OCT angiography.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
35773078,added,2022,Ophthalmology,Epithelial Demarcation Line after Crosslinking.,bare_crosslink+disease,ophthalmology_journal;no_abstract
35757796,added,2022,Frontiers in bioengineering and biotechnology,In vivo Assessment of Localised Corneal Biomechanical Deterioration With Keratoconus Progression.,corneal_cxl_phrase|CXL_abbrev,
35692966,added,2022,Journal of ophthalmology,Crosslinking vs. Observation in Fellow Eyes of Keratoconus Patients.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
35572401,added,2021,Journal of advanced research,Effect of corneal stromal lenticule customization on neurite distribution and excitatory property.,CXL_abbrev|riboflavin_uv|bare_crosslink+disease,
35542096,added,2018,RSC advances,An antibacterial collagen membrane crosslinked by the inclusion complex of β-cyclodextrin dialdehyde and ofloxacin for bacterial keratitis.,bare_crosslink+disease,
35497356,added,2022,Frontiers in bioengineering and biotechnology,Biomechanical Evaluation of Decellularized and Crosslinked Corneal Implants Manufactured From Porcine Corneas as a Treatment Option for Advanced Keratoconus.,bare_crosslink+disease,
35497118,added,2020,RSC advances,"Reaction-diffusion model as framework for understanding the role of riboflavin in ""eye defence"" formulations.",none_in_text,
35381894,added,2022,International ophthalmology,Validation of the multi-metric D-index change in the assessment of keratoconus progression.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
35367416,added,2022,Experimental eye research,Indirectly assessing changes in corneal properties with OCT speckle after crosslinking in porcine eyes.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|riboflavin_uv,ophthalmology_journal
35333808,added,2022,Eye & contact lens,Temporal and Spatial Assessment of the Corneal Response to UV Cross-Linking Using 3-Dimensional In Vivo Confocal Microscopy.,corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
35320858,added,2022,Klinische Monatsblatter fur Augenheilkunde,Peripheral Sterile Corneal Ring Infiltrate after Accelerated Cross-linking.,bare_crosslink+disease,ophthalmology_journal;no_abstract
35313746,added,2022,European journal of ophthalmology,Safety of collagen cross linking in advanced keratoconus in a patient with scleroderma.,collagen_cxl_phrase,ophthalmology_journal
35265368,added,2022,Journal of ophthalmology,Comparison of Long-Term Outcomes and Refractive Stability following SMILE versus SMILE Combined with Accelerated Cross-Linking (SMILE XTRA).,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
35248392,added,2022,Archivos de la Sociedad Espanola de Oftalmologia,Are the epi-on and epi-off CXL protocols equivalent in the treatment of keratoconus?,CXL_abbrev|epi_on_off,ophthalmology_journal;no_abstract
35234069,added,2022,European journal of ophthalmology,Long-term follow-up of bilateral ectasia after laser-assisted Small-Incision Lenticule Extraction (SMILE) with known risk factors.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
35198797,added,2022,American journal of ophthalmology case reports,"Corneal stromal deposits in connective tissue disease, a case series.",corneal_cxl_phrase|collagen_cxl_phrase,ophthalmology_journal
35187443,added,2019,Beyoglu eye journal,Alterations in Corneal Biomechanical and Topographic Features After Accelerated Crosslinking: 1-Year Results.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
35160126,added,2022,Journal of clinical medicine,Transepithelial Iontophoresis-Assisted Cross Linking for Progressive Keratoconus: Up to 7 Years of Follow Up.,CXL_abbrev|bare_crosslink+disease,
35069933,added,2022,Disease markers,Crosslinking-Induced Corneal Endothelium Dysfunction and Its Protection by Topical Ripasudil Treatment.,corneal_cxl_phrase|riboflavin_uv,
35011421,added,2021,"Molecules (Basel, Switzerland)",Model Systems for Evidencing the Mediator Role of Riboflavin in the UVA Cross-Linking Treatment of Keratoconus.,corneal_cxl_phrase|CXL_abbrev|riboflavin_uv,
34901466,added,2021,BMJ open ophthalmology,Pain mechanisms and management in corneal cross-linking: a review.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off,ophthalmology_journal
34874483,added,2021,Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,[Histological changes in keratoconus and wound healing after corneal cross-linking].,corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
34860722,added,2022,Eye & contact lens,Crosslinking in Microbial Keratitis: Where Are We Today?,bare_crosslink+disease,ophthalmology_journal;no_abstract
34711207,added,2021,BMC veterinary research,Mechanical behaviour of healthy versus alkali-lesioned corneas by a porcine organ culture model.,riboflavin_uv|bare_crosslink+disease,
34640185,added,2021,"Materials (Basel, Switzerland)",Blue Light-Activated Riboflavin Phosphate Promotes Collagen Crosslinking to Modify the Properties of Connective Tissues.,corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,
34592226,added,2021,International journal of biological macromolecules,Photo-crosslinked GelMA/collagen membrane loaded with lysozyme as an antibacterial corneal implant.,bare_crosslink+disease,
34550310,added,2021,Translational vision science & technology,"Corneal Collagen Cross-Linking Pretreatment Mitigates Injury-Induced Inflammation, Hemangiogenesis and Lymphangiogenesis In Vivo.",corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,ophthalmology_journal
34501218,added,2021,Journal of clinical medicine,Controversy and Consideration of Refractive Surgery in Patients with Heritable Disorders of Connective Tissue.,collagen_cxl_phrase|CXL_abbrev,
34424223,added,2021,Eye & contact lens,Identifying Eyes That Can Benefit From Cross-linking Is Mostly a Question of Clinical Judgment.,bare_crosslink+disease,ophthalmology_journal;no_abstract
34328498,added,2021,Translational vision science & technology,Biomechanics of Ophthalmic Crosslinking.,bare_crosslink+disease,ophthalmology_journal
34321817,added,2021,Middle East African journal of ophthalmology,Safety and Efficacy of Epithelial Island Crosslinking in Keratoconus with Thinnest Pachymetry less than 400µ.,CXL_abbrev|epi_on_off|bare_crosslink+disease,ophthalmology_journal
34263132,added,2021,Therapeutic advances in ophthalmology,Advances in the diagnosis and treatment of keratoconus.,corneal_cxl_phrase,ophthalmology_journal
34207081,added,2021,Journal of clinical medicine,A Retrospective Study of Herpetic Keratitis in Patients with Keratoconus after Crosslinking Surgery.,CXL_abbrev|bare_crosslink+disease,
34195474,added,2021,American journal of ophthalmology case reports,A case of infectious crystalline keratopathy after corneal cross-linking.,corneal_cxl_phrase,ophthalmology_journal
34176917,added,2021,Cornea,"Cool Cross-Linking: Riboflavin at 4°C for Pain Management After Cross-Linking for Keratoconus Patients, a Randomized Clinical Trial.",bare_crosslink+disease,ophthalmology_journal;no_abstract
34137523,added,2021,"Journal of Ayub Medical College, Abbottabad : JAMC",A Study On Efficacy Of Corneal Collagen Cross Linking In Progressive Keratoconus.,corneal_cxl_phrase|collagen_cxl_phrase,
34044698,added,2021,"Journal of refractive surgery (Thorofare, N.J. : 1995)","Erratum for ""Interferometric Ex Vivo Evaluation of the Spatial Changes to Corneal Biomechanics Introduced by Topographic CXL: A Pilot Study"".",CXL_abbrev,ophthalmology_journal;no_abstract
34009489,added,2021,Biomechanics and modeling in mechanobiology,Multi-physics modeling and finite element formulation of corneal UV cross-linking.,bare_crosslink+disease,
34003977,added,2021,Translational vision science & technology,Corneal Optical Coherence Tomography Speckle in Crosslinked and Untreated Rabbit Eyes in Response to Elevated Intraocular Pressure.,corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,ophthalmology_journal
34003973,added,2021,Translational vision science & technology,Chemical Cross-Linking of Corneal Tissue to Reduce Progression of Loss of Sight in Patients With Keratoconus.,bare_crosslink+disease,ophthalmology_journal
33872673,added,2021,Experimental eye research,A new collagen scaffold for the improvement of corneal biomechanical properties in a rabbit model.,corneal_cxl_phrase|collagen_cxl_phrase,ophthalmology_journal
33857213,added,2021,PloS one,Experimental in-vitro investigation on Epi-Off-Crosslinking on porcine corneas.,CXL_abbrev|epi_on_off|bare_crosslink+disease,
33812086,added,2021,The ocular surface,Safety and efficacy of UV application for superficial infections in humans: A systematic review and meta-analysis.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
33765359,added,2021,The Cochrane database of systematic reviews,Transepithelial versus epithelium-off corneal crosslinking for progressive keratoconus.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev|epi_on_off|riboflavin_uv,
33733442,added,2021,Klinische Monatsblatter fur Augenheilkunde,The Effectiveness of Corneal Epithelial Debridement Performed with an Alcohol-Impregnated Sponge.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
33689606,added,2021,Clinical & experimental optometry,Efficacy of two silicone-hydrogel bandage contact lenses after corneal crosslinking.,corneal_cxl_phrase|CXL_abbrev,ophthalmology_journal
33682969,added,2021,Xenotransplantation,"Invited commentary on ""Deep Anterior lamellar keratoplasty with Cross-linked Acellular Porcine Corneal Stroma to Manage Fungal Keratitis"".",bare_crosslink+disease,no_abstract
33671011,added,2021,Pharmaceutics,Significance of Crosslinking Approaches in the Development of Next Generation Hydrogels for Corneal Tissue Engineering.,bare_crosslink+disease,
33624461,added,2021,Journal of biomedical optics,Heartbeat optical coherence elastography: corneal biomechanics in vivo.,CXL_abbrev|bare_crosslink+disease,
