pattern,is_regex,canonical,parent,cluster,country,tier,note
mass eye and ear,0,Massachusetts Eye and Ear,Harvard Medical School,,United States,1,
mass. eye and ear,0,Massachusetts Eye and Ear,Harvard Medical School,,United States,1,
harvard,0,Harvard Medical School,Harvard Medical School,,United States,2,
university of crete,0,University of Crete,University of Crete,,Greece,2,
heraklion,0,University of Crete,University of Crete,,Greece,3,regex-free city fallback
laservision,0,Laservision Institute Athens,Laservision Institute Athens,,Greece,1,
university of athens,0,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,,Greece,2,
kapodistrian,0,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,,Greece,2,
farabi eye,0,Farabi Eye Hospital,Tehran University of Medical Sciences,,Iran,1,
wenzhou medical,0,Wenzhou Medical University,Wenzhou Medical University,,China,2,
eye hospital of wenzhou,0,Wenzhou Medical University,Wenzhou Medical University,,China,1,
cole eye,0,"Cole Eye Institute, Cleveland Clinic",Cleveland Clinic,,United States,1,
cleveland clinic,0,Cleveland Clinic,Cleveland Clinic,,United States,1,
narayana nethralaya,0,Narayana Nethralaya Bangalore,Narayana Nethralaya Bangalore,,India,1,
moorfields,0,Moorfields Eye Hospital,Moorfields Eye Hospital,,United Kingdom,1,
cardiff university,0,Cardiff University,Cardiff University,,United Kingdom,2,
university of cardiff,0,Cardiff University,Cardiff University,,United Kingdom,2,
charité,0,Charité – Universitätsmedizin Berlin,Charité – Universitätsmedizin Berlin,,,2,
ludwig-maximilians-universität,0,Ludwig Maximilian University Munich,Ludwig Maximilian University Munich,,,2,
lmu munich,0,Ludwig Maximilian University Munich,Ludwig Maximilian University Munich,,,2,
university of erlangen,0,University of Erlangen-Nuremberg,University of Erlangen-Nuremberg,,,2,
university of marburg,0,University of Marburg,University of Marburg,,,2,
athens eye,0,Athens Eye Hospital,Athens Eye Hospital,,,1,
humanitas,0,Humanitas University Milan,Humanitas University Milan,,,2,
milan eye,0,Milan Eye Center,Milan Eye Center,,,1,
university of rome,0,Sapienza University of Rome,Sapienza University of Rome,,,2,
sapienza,0,Sapienza University of Rome,Sapienza University of Rome,,,2,
university of milan,0,University of Milan,University of Milan,,,2,
bascom palmer,0,Bascom Palmer Eye Institute,Bascom Palmer Eye Institute,,,1,
wills eye,0,Wills Eye Hospital,Wills Eye Hospital,,,1,
mayo clinic,0,Mayo Clinic,Mayo Clinic,,,1,
johns hopkins,0,Johns Hopkins University,Johns Hopkins University,,,2,
university of southern california,0,University of Southern California,University of Southern California,,,2,
usc roski,0,University of Southern California,University of Southern California,,,2,
emory,0,Emory University,Emory University,,,2,
rutgers,0,Rutgers University,Rutgers University,,,2,
university of miami,0,University of Miami,University of Miami,,,2,
university of illinois,0,University of Illinois Chicago,University of Illinois Chicago,,,2,
university of arizona,0,University of Arizona,University of Arizona,,,2,
stanford,0,Stanford University,Stanford University,,,2,
ucsf,0,University of California San Francisco,University of California San Francisco,,,2,
columbia university,0,Columbia University,Columbia University,,,2,
new york eye,0,New York Eye and Ear Infirmary,New York Eye and Ear Infirmary,,,1,
university of nottingham,0,University of Nottingham,University of Nottingham,,,2,
university of liverpool,0,University of Liverpool,University of Liverpool,,,2,
university of edinburgh,0,University of Edinburgh,University of Edinburgh,,,2,
university of bristol,0,University of Bristol,University of Bristol,,,2,
university of manchester,0,University of Manchester,University of Manchester,,,2,
king's college,0,King's College London,King's College London,,,2,
ucl,0,University College London,University College London,,,2,
noor eye,0,Noor Eye Hospital Tehran,Noor Eye Hospital Tehran,,,1,
tehran university of medical,0,Tehran University of Medical Sciences,Tehran University of Medical Sciences,,,2,
shahid beheshti,0,Shahid Beheshti University of Medical Sciences,Shahid Beheshti University of Medical Sciences,,,2,
mashhad university,0,Mashhad University of Medical Sciences,Mashhad University of Medical Sciences,,,2,
isfahan university,0,Isfahan University of Medical Sciences,Isfahan University of Medical Sciences,,,2,
lv prasad,0,LV Prasad Eye Institute,LV Prasad Eye Institute,,,1,
l v prasad,0,LV Prasad Eye Institute,LV Prasad Eye Institute,,,1,
aravind,0,Aravind Eye Care System,Aravind Eye Care System,,,1,
sankara nethralaya,0,Sankara Nethralaya Chennai,Sankara Nethralaya Chennai,,,1,
aiims,0,All India Institute of Medical Sciences,All India Institute of Medical Sciences,,,2,
all india institute,0,All India Institute of Medical Sciences,All India Institute of Medical Sciences,,,2,
singapore national eye,0,Singapore National Eye Centre,Singapore National Eye Centre,,,1,
snec,0,Singapore National Eye Centre,Singapore National Eye Centre,,,1,
nanyang technological,0,Nanyang Technological University,Nanyang Technological University,,,2,
peking university,0,Peking University,Peking University,,,2,
tianjin eye,0,Tianjin Eye Hospital,Tianjin Eye Hospital,,,1,
chinese university of hong kong,0,Chinese University of Hong Kong,Chinese University of Hong Kong,,,2,
cuhk,0,Chinese University of Hong Kong,Chinese University of Hong Kong,,,2,
university of hong kong,0,University of Hong Kong,University of Hong Kong,,,2,
royal victorian eye,0,Royal Victorian Eye and Ear Hospital,Royal Victorian Eye and Ear Hospital,,,1,
centre for eye research australia,0,Centre for Eye Research Australia,Centre for Eye Research Australia,,,1,
cera,0,Centre for Eye Research Australia,Centre for Eye Research Australia,,,2,
university of melbourne,0,University of Melbourne,University of Melbourne,,,2,
universidad de alicante,0,University of Alicante,University of Alicante,,,2,
university of alicante,0,University of Alicante,University of Alicante,,,2,
university of ghent,0,Ghent University,Ghent University,,,2,
ghent university,0,Ghent University,Ghent University,,,2,
katholieke universiteit leuven,0,KU Leuven,KU Leuven,,,2,
ku leuven,0,KU Leuven,KU Leuven,,,2,
maastricht university,0,Maastricht University,Maastricht University,,,2,
erasmus,0,Erasmus University Rotterdam,Erasmus University Rotterdam,,,2,
tel aviv university,0,Tel Aviv University,Tel Aviv University,,,2,
hadassah,0,Hadassah Medical Center,Hadassah Medical Center,,,2,
unifesp,0,Federal University of São Paulo,Federal University of São Paulo,,,2,
federal university of são paulo,0,Federal University of São Paulo,Federal University of São Paulo,,,2,
universidade de são paulo,0,University of São Paulo,University of São Paulo,,,2,
irwin army,0,Irwin Army Community Hospital,Irwin Army Community Hospital,,,2,
